video_path,caption
../datasets/real\real_379.mp4,A group of children in a classroom with their arms up in the air.
../datasets/real\real_380.mp4,A woman is sitting on a couch and talking to the camera.
../datasets/real\real_381.mp4,"A woman is standing on a television news set wearing a black dress and glasses, looking at the camera with a serious expression."
../datasets/real\real_382.mp4,A fisherman is holding a red drum fish on a boat in the water with a cloudy sky in the background.
../datasets/real\real_383.mp4,A couple of people standing on a ladder on top of an adobe building.
../datasets/real\real_384.mp4,A close up of a plate of food on a table.
../datasets/real\real_385.mp4,A close up of a car's engine compartment.
../datasets/real\real_386.mp4,A pink background with the words retro brand review.
../datasets/real\real_387.mp4,"There are several books stacked on top of each other, with the titles written in chinese characters."
../datasets/real\real_388.mp4,A video game character standing in front of a colorful landscape.
../datasets/real\real_389.mp4,A news anchor standing in front of a tv screen.
../datasets/real\real_390.mp4,A person holding a black and white nike running shoe.
../datasets/real\real_391.mp4,"The car is equipped with a navigation system that displays the current location, speed, and direction of the vehicle."
../datasets/real\real_392.mp4,A woman in a blue shirt and hat standing in front of a crowd of people.
../datasets/real\real_393.mp4,A woman on a television screen with a map in the background.
../datasets/real\real_394.mp4,A woman is talking to the camera and smiling.
../datasets/real\real_395.mp4,The user is using a software to create a 3d model of a ladder.
../datasets/real\real_396.mp4,A person holding up a mouse pad with a picture of a character on it.
../datasets/real\real_397.mp4,A person is plugging in a usb cable into a device.
../datasets/real\real_398.mp4,A woman with her hands on a table next to a bottle of lotion.
../datasets/real\real_399.mp4,There is a large aquarium with clear water and some rocks in it.
../datasets/real\real_400.mp4,A man in a suit is standing with his arms outstretched and a stern look on his face.
../datasets/real\real_401.mp4,A close up of an orange and white motorcycle.
../datasets/real\real_402.mp4,A television screen with a weather report on it.
../datasets/real\real_403.mp4,A person holding a garfield stuffed animal on a bed.
../datasets/real\real_404.mp4,Person merkel speaking at a news conference.
../datasets/real\real_405.mp4,A person is mixing ingredients in a bowl with a spoon.
../datasets/real\real_406.mp4,"The speaker is a middle-aged man with glasses and a white shirt, sitting in front of a blue background."
../datasets/real\real_407.mp4,A dolphin is swimming in a large tank of water with people looking at it through the glass.
../datasets/real\real_408.mp4,A person holding a piece of equipment on a desk.
../datasets/real\real_409.mp4,The person is sitting at a desk in front of a laptop and talking to the camera.
../datasets/real\real_410.mp4,A woman in a red t-shirt is standing in front of a kitchen counter and talking to the camera.
../datasets/real\real_411.mp4,A man drives a race car around the track from the driver's seat.
../datasets/real\real_412.mp4,A text document in microsoft word.
../datasets/real\real_413.mp4,Person is pouring liquid into ice cube trays.
../datasets/real\real_414.mp4,There is a soccer game being played on a stadium with a large crowd of people watching.
../datasets/real\real_415.mp4,A police officer is training a dog in a park.
../datasets/real\real_416.mp4,A group of people are participating in a video chat.
../datasets/real\real_417.mp4,A man and a woman in bed in a bedroom.
../datasets/real\real_418.mp4,A father and son are playing with a remote control toy airplane on a sports field.
../datasets/real\real_419.mp4,Four women sitting at a round table.
../datasets/real\real_420.mp4,"A group of people are singing and dancing in front of a live audience. they are wearing different outfits, and some of them are holding musical instruments."
../datasets/real\real_421.mp4,There is a young man wearing a white t-shirt standing in front of a blue brick wall and smiling.
../datasets/real\real_422.mp4,A man in silhouette standing on a stage in front of a light.
../datasets/real\real_423.mp4,People are sitting on a couch in a living room with presents.
../datasets/real\real_424.mp4,"A man is sitting in the back of an open-sided van, surrounded by trees and mountains."
../datasets/real\real_425.mp4,The drone is flying over a forest and detecting targets on the ground.
../datasets/real\real_426.mp4,A woman in pink pajamas standing in front of a bed.
../datasets/real\real_427.mp4,A group of people are practicing yoga on the grass in a park.
../datasets/real\real_428.mp4,The user is using a stylus to draw on the screen of an ipad.
../datasets/real\real_429.mp4,A man with a beard is sitting in the driver's seat of a car while driving. he is wearing a black shirt and has his hands on the steering wheel.
../datasets/real\real_430.mp4,A senior woman is sitting in a hair salon and talking to the barber.
../datasets/real\real_431.mp4,"There is a sign with the words ""small business spotlight"" on it."
../datasets/real\real_432.mp4,An old man with a serious look on his face is holding a pen and writing a letter on a piece of paper.
../datasets/real\real_433.mp4,A young woman is standing in a kitchen wearing a green apron and a yellow shirt.
../datasets/real\real_434.mp4,A collage of three men with boxing gloves on.
../datasets/real\real_435.mp4,A man in a suit and tie is talking on a screen.
../datasets/real\real_436.mp4,The bow of a boat on a river with houses in the background.
../datasets/real\real_437.mp4,"There is a large group of people gathered on the street, some of them are holding flags and banners, and there is a bus in the background."
../datasets/real\real_438.mp4,A group of people are standing outside a restaurant at night and one person is taking pictures with their phone.
../datasets/real\real_439.mp4,"The speaker is a woman with dark skin, wearing an orange jacket and speaking in front of a black background."
../datasets/real\real_440.mp4,A young man is playing the drums in a recording studio.
../datasets/real\real_441.mp4,A person walking with a suitcase on a tiled floor.
../datasets/real\real_442.mp4,A balding man in a white shirt is standing in a dark room and looking around.
../datasets/real\real_443.mp4,"There is a man in a suit and tie standing in front of a television screen displaying a weather forecast for the providence area, with rain showers expected to arrive later in the day on wednesday and thursday."
../datasets/real\real_444.mp4,A group of people are sitting on stools in front of a large screen displaying an advertisement.
../datasets/real\real_445.mp4,A couple of birds in a nest in a bush.
../datasets/real\real_446.mp4,"A person is riding a motorcycle on the street, and there are cars parked on the side of the road."
../datasets/real\real_447.mp4,A woman in a red shirt on local 12 news.
../datasets/real\real_448.mp4,A brown bear is standing in a grassland and looking around.
../datasets/real\real_449.mp4,A news anchor standing in front of a large screen.
